,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Georgia
5,Idaho
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Nebraska
18,Nevada
19,New Hampshire
20,North Carolina
21,North Dakota
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Utah
30,Virginia
31,Washington
32,West Virginia
33,Wisconsin
34,Wyoming
